epoch,accuracy,loss,val_accuracy,val_loss
0,0.37060615,1.3235656973928287,0.4322766661643982,1.2758321713988994
1,0.65873235,0.9713354078713066,0.6541786789894104,0.9576056628818127
2,0.7921395,0.5732591863718516,0.6916426420211792,0.7835316950031248
3,0.8480487,0.40979546862825805,0.7002881765365601,0.7807478966561793
4,0.8870745,0.3266556671607405,0.6974063515663147,0.8204188260977138
5,0.9078328,0.26494268268355037,0.680115282535553,0.8846336204655232
6,0.92665374,0.21853993218129208,0.6743515729904175,0.9048464854787337
7,0.9402159,0.18787996687454891,0.6743515729904175,1.0058927505091906
8,0.9468586,0.1593735162802855,0.6743515729904175,1.0582918790987659
9,0.9576529,0.140204353462683,0.6570605039596558,1.0832871215831306
10,0.9623582,0.1255897117385302,0.6628242135047913,1.1409347369966314
11,0.9640188,0.11417629144345497,0.6685879230499268,1.1913913691078208
12,0.96844727,0.10540537473867054,0.6628242135047913,1.2505499832224778
13,0.970108,0.09487815572677344,0.6685879230499268,1.2865852017911092
14,0.9690008,0.08985613460747648,0.6628242135047913,1.3446148664875746
15,0.9728757,0.08499396038276483,0.6887608170509338,1.3819019464663196
16,0.9745364,0.08546115726504734,0.6599423885345459,1.3872083140381475
17,0.9756435,0.07758946029261608,0.6714697480201721,1.4336178563857285
18,0.97370607,0.07953099799006064,0.6772334575653076,1.4721834948152217
19,0.9753667,0.07298864483412633,0.6685879230499268,1.4753045018880442
20,0.97647387,0.07026574832593227,0.6743515729904175,1.544817618746579
21,0.97758096,0.0664453232867621,0.6685879230499268,1.5688030685402818
22,0.9770274,0.06663174635684027,0.6685879230499268,1.6021484167500257
23,0.97619706,0.06272344192020325,0.680115282535553,1.566594850089433
24,0.9795184,0.06367440912908641,0.6685879230499268,1.6649309654400741
